#,Course ID,Section,Class Name,Instructor,Department
1,ARTS 001,1,History of Western Art,Simons,Art
2,ARTS 011,1,Fundamentals of Drawing,Patrick,Art
3,ARTS 013,1,Graphic Design and Color,Simons,Art
4,ARTS 101,1,History of Western Art,Simons,Art
5,ARTS 111,1,Fundamentals of Drawing,Patrick,Art
6,ARTS 115,1,Computer Graphics,Crane,Art
7,ARTS 117,1,Digital Imaging,Crane,Art
8,ARTS 121,1,Beginning Painting: Acrylics,Landau,Art
9,ARTS 122,1,Intermediate Painting:Acrylics,Landau,Art
10,ARTS 123,1,Advanced Painting: Acrylics,Landau,Art
11,ARTS 132,1,Multimedia Printmaking,Simons,Art
12,ARTS 134,1,Advanced Printmaking Workshop,Simons,Art
13,ARTS 141,1,Beginning Ceramics,Patrick,Art
14,ARTS 142,1,Intermediate Ceramics,Patrick,Art
15,ARTS 143,1,Advanced Ceramics,Patrick,Art
16,ARTS 181,1,Beginning Jewelry and Metal,Patrick,Art
17,ARTS 182,1,Intermediate Jewelry and Metal,Patrick,Art
18,ARTS 183,1,Advanced Jewelry and Metal,Patrick,Art
19,DRAM 099,1,Drama Workshop:,Schlader,Art
20,DRAM 099 1,1,Drama Workshop,Schlader,Art
21,DRAM 099 2,1,Drama Workshop,Schlader,Art
22,BIOL 001A,1,Principles of Biological Science,Loh,Biological Science
23,BIOL 001A,2,Principles of Biological Science,Handley,Biological Science
24,BIOL 001AL,1,Principles of Biological Science Lab,Loh,Biological Science
25,BIOL 001AL,2,Principles of Biological Science Lab,Bach,Biological Science
26,BIOL 001B,1,Principles of Biological Science,Smith Miller-Sims,Biological Science
27,BIOL 001BL,1,Principles of Biological Science Lab,Smith Miller-Sims,Biological Science
28,BIOL 011,1,Human Physiology,Limm,Biological Science
29,BIOL 011L,1,Human Physiology Laboratory,Limm,Biological Science
30,BIOL 015,1,Human Biology,McPheron,Biological Science
31,BIOL 015,2,Human Biology,Hugenberger,Biological Science
32,BIOL 017,1,Human Anatomy,Owen,Biological Science
33,BIOL 017L,1,Human Anatomy Laboratory,Owen,Biological Science
34,BIOL 017L,2,Human Anatomy Laboratory,Owen,Biological Science
35,BIOL 020,1,Allied Health Microbiology,Barrett,Biological Science
36,BIOL 020L,1,Allied Health Microbiology Laboratory,Barrett,Biological Science
37,BIOL 145,1,Medical Microbiology,McLaughlin,Biological Science
38,BIOL 145L,1,Medical Microbiology Lab,McLaughlin,Biological Science
39,BIOL 185,1,Physiological Chem,Bach,Biological Science
40,BIOL 185L,1,Physiological Chemistry Lab,Bach,Biological Science
41,BIOL 192W,1,Biology Seminar,Smith,Biological Science
42,BIOL 196,1,Internship,Handley,Biological Science
43,BIOL 196 1,1,Internship,Handley,Biological Science
44,BIOL 196 2,1,Internship,Handley,Biological Science
45,BSAD 012,1,Principles of Accounting,Domeier,Business
46,BSAD 012,2,Principles of Accounting,Domeier,Business
47,BSAD 020,1,Quantitative Analysis for Business and Economics,Saez,Business
48,BSAD 030,1,Principles of Management,Sloan,Business
49,BSAD 105,1,Decision Analysis For Business,Rohrer,Business
50,BSAD 113W,1,Survey of Global Business,Portillo,Business
51,BSAD 113W,2,Global Business,Portillo,Business
52,BSAD 129,1,Business Finance,Xu,Business
53,BSAD 130,1,Business Management,Sloan,Business
54,BSAD 148W,1,Organizational Behavior,Stryker,Business
55,BSAD 160,1,Principles of Marketing,Chen,Business
56,BSAD 165,1,Marketing Research,Costen,Business
57,BSAD 171,1,Sports Marketing and Public Relations,Jones,Business
58,BSAD 195W,1,Strategic Management,Stryker,Business
59,BSAD 196,1,Internship,Stryker,Business
60,BSAD 196 1,1,Internship,Stryker,Business
61,BSAD 196 2,1,Internship,,Business
62,CALP 095,1,Academic Success Strategies,Lyndon,Career and Life Planning
63,CALP 191,1,"Leadership, Trans & Social Change I",Prentiss Melrose,Career and Life Planning
64,CALP 196,1,Career Exploration: Internship,Nikaido,Career and Life Planning
65,CALP 196 1,1,Career Exploration: Internship,Nikaido,Career and Life Planning
66,CALP 196 2,1,Career Exploration: Internship,Nikaido,Career and Life Planning
67,CHEM 001B,1,General Chemistry and Qualitative Analysis,Grunbaum,Chemistry
68,CHEM 001BDis,1,General Chemistry Discussion,Grunbaum,Chemistry
69,CHEM 001BL,1,General Chemistry Lab,Grunbaum,Chemistry
70,CHEM 007,1,Introductory Chemistry for Health Science,Tsang,Chemistry
71,CHEM 007L,1,Intro to Chemistry Laboratory,Tsang,Chemistry
72,CHEM 019,1,Organic Chemistry II,Tsang,Chemistry
73,CHEM 019L,1,Organic Chemistry II Lab,Tsang,Chemistry
74,COMM 108W,1,Professional Writing,Hansen,Communication
75,COMM 001,1,Essen Interpersonal Comm/Effect Speaking,Jackson,Communications Studies
76,COMM 001,2,Essen Interpersonal Comm/Effect Speaking,Mohammed,Communications Studies
77,COMM 001,3,Essen Interpersonal Comm/Effect Speaking,Mohammed,Communications Studies
78,COMM 110,1,Presentation Strategies,Jackson,Communications Studies
79,COMM 122,1,Mediation and Conflict Resolution,Prentiss,Communications Studies
80,COMM 196,1,Internship,Prentiss,Communications Studies
81,COMM 196 1,1,Internship,Prentiss,Communications Studies
82,COMM 196 2,1,Internship,Prentiss,Communications Studies
83,CSCI 010C,1,Spreadsheets,Bender,Computer Systems
84,CRIM 120,1,The Criminal Justice System,Gallo,Criminology
85,CRIM 196,1,Academic Internship,Gallo,Criminology
86,CRIM 196 1,1,Academic Internship,Gallo,Criminology
87,CRIM 196 2,1,Academic Internship,Gallo,Criminology
88,ECON 002,1,Principles of Economics (Micro),Dave,Economics
89,ECON 002,2,Principles Of Economics (Micro),,Economics
90,ECON 015,1,Statistical Methods,Rohrer,Economics
91,EDUC 100,1,Social Foundations in Education,Mayfield,Education
92,EDUC 101,1,Educational Psychology,Henderson,Education
93,EDUC 102A,1,Educating Students with Special Needs,Browne,Education
94,EDUC 102B,1,Multicultural Education,Epstein,Education
95,EDUC 103,1,Theories/Methods Second Language Acquisition,McCall-Perez,Education
