user_id,section_id,role,status
u.1361577262.0,c.1361577262.math.1,teacher,deleted
u.1361577262.1,c.1361577262.math.1,ta,deleted
u.1361577262.2,c.1361577262.math.1,designer,deleted
u.1361577262.3,c.1361577262.math.1,student,deleted
u.1361577262.4,c.1361577262.math.1,student,deleted
u.1361577262.5,c.1361577262.math.1,student,deleted
u.1361577262.6,c.1361577262.math.1,student,deleted
u.1361577262.7,c.1361577262.math.1,student,deleted
u.1361577262.8,c.1361577262.math.1,student,deleted
u.1361577262.9,c.1361577262.math.1,student,deleted
u.1361577262.10,c.1361577262.math.1,student,deleted
u.1361577262.11,c.1361577262.math.1,student,deleted
u.1361577262.12,c.1361577262.math.1,student,deleted
u.1361577262.13,c.1361577262.math.1,student,deleted
u.1361577262.14,c.1361577262.math.1,student,deleted
u.1361577262.15,c.1361577262.math.1,student,deleted
u.1361577262.16,c.1361577262.math.1,student,deleted
u.1361577262.17,c.1361577262.math.1,student,deleted
u.1361577262.18,c.1361577262.math.1,student,deleted
u.1361577262.19,c.1361577262.math.1,student,deleted
u.1361577262.20,c.1361577262.math.1,student,deleted
u.1361577262.21,c.1361577262.math.1,student,deleted
u.1361577262.22,c.1361577262.math.1,student,deleted
u.1361577262.23,c.1361577262.math.1,student,deleted
u.1361577262.24,c.1361577262.math.1,student,deleted
u.1361577262.25,c.1361577262.math.1,student,deleted
u.1361577262.26,c.1361577262.math.1,student,deleted
u.1361577262.27,c.1361577262.math.1,student,deleted
u.1361577262.28,c.1361577262.math.1,student,deleted
u.1361577262.29,c.1361577262.math.1,student,deleted
u.1361577262.30,c.1361577262.math.1,student,deleted
u.1361577262.31,c.1361577262.math.1,student,deleted
u.1361577262.32,c.1361577262.math.1,student,deleted
u.1361577262.33,c.1361577262.math.1,student,deleted
u.1361577262.34,c.1361577262.math.1,student,deleted
u.1361577262.35,c.1361577262.math.1,student,deleted
u.1361577262.36,c.1361577262.math.1,student,deleted
u.1361577262.37,c.1361577262.math.1,student,deleted
u.1361577262.38,c.1361577262.math.1,student,deleted
u.1361577262.39,c.1361577262.math.1,student,deleted
u.1361577262.40,c.1361577262.math.1,student,deleted
u.1361577262.41,c.1361577262.math.1,student,deleted
u.1361577262.42,c.1361577262.math.1,student,deleted
u.1361577262.43,c.1361577262.math.1,student,deleted
u.1361577262.44,c.1361577262.math.1,student,deleted
u.1361577262.45,c.1361577262.math.1,student,deleted
u.1361577262.46,c.1361577262.math.1,student,deleted
u.1361577262.47,c.1361577262.math.1,student,deleted
u.1361577262.48,c.1361577262.math.1,student,deleted
u.1361577262.49,c.1361577262.math.1,student,deleted
u.1361577262.50,c.1361577262.math.1,student,deleted
u.1361577262.51,c.1361577262.math.1,student,deleted
u.1361577262.52,c.1361577262.math.1,student,deleted
u.1361577262.53,c.1361577262.math.1,student,deleted
u.1361577262.54,c.1361577262.math.1,student,deleted
u.1361577262.55,c.1361577262.math.1,student,deleted
u.1361577262.56,c.1361577262.math.1,student,deleted
u.1361577262.57,c.1361577262.math.1,student,deleted
u.1361577262.58,c.1361577262.math.1,student,deleted
u.1361577262.59,c.1361577262.math.1,student,deleted
u.1361577262.60,c.1361577262.math.1,student,deleted
u.1361577262.61,c.1361577262.math.1,student,deleted
u.1361577262.62,c.1361577262.math.1,student,deleted
u.1361577262.63,c.1361577262.math.1,student,deleted
u.1361577262.64,c.1361577262.math.1,student,deleted
u.1361577262.65,c.1361577262.math.1,student,deleted
u.1361577262.66,c.1361577262.math.1,student,deleted
u.1361577262.67,c.1361577262.math.1,student,deleted
u.1361577262.68,c.1361577262.math.1,student,deleted
u.1361577262.69,c.1361577262.math.1,student,deleted
u.1361577262.70,c.1361577262.math.1,student,deleted
u.1361577262.71,c.1361577262.math.1,student,deleted
u.1361577262.72,c.1361577262.math.1,student,deleted
u.1361577262.73,c.1361577262.math.1,student,deleted
u.1361577262.74,c.1361577262.math.1,student,deleted
u.1361577262.75,c.1361577262.math.1,student,deleted
u.1361577262.76,c.1361577262.math.1,student,deleted
u.1361577262.77,c.1361577262.math.1,student,deleted
u.1361577262.78,c.1361577262.math.1,student,deleted
u.1361577262.79,c.1361577262.math.1,student,deleted
u.1361577262.80,c.1361577262.math.1,student,deleted
u.1361577262.81,c.1361577262.math.1,student,deleted
u.1361577262.82,c.1361577262.math.1,student,deleted
u.1361577262.83,c.1361577262.math.1,student,deleted
u.1361577262.84,c.1361577262.math.1,student,deleted
u.1361577262.85,c.1361577262.math.1,student,deleted
u.1361577262.86,c.1361577262.math.1,student,deleted
u.1361577262.87,c.1361577262.math.1,student,deleted
u.1361577262.88,c.1361577262.math.1,student,deleted
u.1361577262.89,c.1361577262.math.1,student,deleted
u.1361577262.90,c.1361577262.math.1,student,deleted
u.1361577262.91,c.1361577262.math.1,student,deleted
